,Country,League,Club,Player Names,Matches_Played,Substitution ,Mins,Goals,xG,xG Per Avg Match,Shots,OnTarget,Shots Per Avg Match,On Target Per Avg Match,Year
565,Germany,Bundesliga,(KOL),Ellyes Skhiri,8,0,709,3,1.87,0.25,6,3,0.8,0.4,2020
568,Germany,Bundesliga,(FRA),Andre Silva,9,0,802,7,7.43,0.88,37,16,4.38,1.9,2020
571,Germany,Bundesliga,(HOF),Andrej Kramaric,5,0,481,7,4.61,0.91,23,14,4.54,2.77,2020
574,Germany,Bundesliga,(FCA),Daniel Caligiuri,9,0,841,3,0.8,0.09,11,5,1.24,0.56,2020
577,Germany,Bundesliga,(SCF),Nils Petersen,6,3,608,4,2.11,0.33,15,7,2.34,1.09,2020
580,France,France Ligue 18,(NAN),Ludovic Blas,11,1,990,4,1.88,0.18,19,7,1.82,0.67,2020
583,France,France Ligue 10,(MON),Kevin Volland,9,1,709,5,3.43,0.46,12,11,1.61,1.47,2020
586,France,France Ligue 5,(MET),Ibrahima Niane,6,0,482,6,3.45,0.68,21,9,4.14,1.77,2020
589,France,France Ligue 15,(LEN),Ignatius Ganago,6,3,452,4,3.33,0.7,14,7,2.94,1.47,2020
592,France,France Ligue 14,(MAR),Florian Thauvin,10,0,835,4,2.99,0.34,21,8,2.39,0.91,2020
595,France,France Ligue 17,(STR),Ludovic Ajorque,11,0,1008,4,3.61,0.34,17,8,1.6,0.75,2020
598,France,France Ligue 11,(LYO),Memphis Depay,9,3,903,5,4.75,0.5,30,10,3.16,1.05,2020
601,England,Premier League,(MNU),Bruno Fernandes,9,0,809,7,5.45,0.64,30,14,3.52,1.64,2020
604,England,Premier League,(NEW),Callum Wilson,9,0,835,7,6.5,0.74,18,8,2.05,0.91,2020
607,England,Premier League,(AVL),Jack Grealish,9,0,872,5,2.85,0.31,26,9,2.83,0.98,2020
610,England,Premier League,(LEE),Patrick Bamford,10,0,898,7,7.28,0.77,40,17,4.23,1.8,2020
613,England,Premier League,(TOT),Harry Kane,10,0,956,7,6.64,0.66,39,15,3.88,1.49,2020
616,England,Premier League,(AVL),Ollie Watkins,9,0,872,6,6.43,0.7,22,9,2.4,0.98,2020
619,England,Premier League,(TOT),Son Heung-Min,10,0,861,9,3.9,0.43,20,12,2.21,1.32,2020
622,Brazil,Campeonato Brasileiro S̩rie A,(SAN),Marinho ,17,2,1662,13,7.52,0.43,58,26,3.32,1.49,2020
625,Brazil,Campeonato Brasileiro S̩rie A,(CEA),Cleber ,17,3,1336,5,6.75,0.48,41,13,2.92,0.92,2020
628,Brazil,Campeonato Brasileiro S̩rie A,(SAP),Brenner None,9,6,1063,6,7.5,0.67,36,14,3.22,1.25,2020
631,Brazil,Campeonato Brasileiro S̩rie A,(FLA),Bruno Henrique,15,1,1412,5,8.92,0.6,45,18,3.03,1.21,2020
634,Brazil,Campeonato Brasileiro S̩rie A,(RBB),Alerrandro ,10,2,861,5,6.07,0.67,24,11,2.65,1.21,2020
637,Brazil,Campeonato Brasileiro S̩rie A,(CFC),Robson,22,0,1937,6,8.56,0.42,53,17,2.6,0.83,2020
640, Netherlands,Eredivisie,(MNU),Donny van de Beek,22,1,2023,8,4.9,0.23,44,16,2.07,0.75,2020
643, Netherlands,Eredivisie,(FEY),Bryan Linssen,25,0,2256,14,8.31,0.35,92,39,3.87,1.64,2020
646, Netherlands,Eredivisie,(AJA),Dusan Tadic,25,0,2287,11,11.31,0.47,63,26,2.62,1.08,2020
649, Netherlands,Eredivisie,(AZA),Myron Boadu,24,0,2099,14,13.26,0.6,60,30,2.72,1.36,2020
652, Netherlands,Eredivisie,(EMM),Michael de Leeuw,26,0,2383,9,8.28,0.33,51,23,2.03,0.92,2020
655, Netherlands,Eredivisie,(UTR),Gyrano Kerk,24,0,2155,10,7.49,0.33,50,18,2.2,0.79,2020
658, Netherlands,Eredivisie,,Cyriel Dessers ,26,0,2461,15,14.51,0.56,84,43,3.24,1.66,2020
