,Country,League,Club,Player Names,Matches_Played,Substitution ,Mins,Goals,xG,xG Per Avg Match,Shots,OnTarget,Shots Per Avg Match,On Target Per Avg Match,Year
499, Netherlands,Eredivisie,(VVV),Georgios Giakoumakis,10,0,911,9,7.19,0.75,35,14,3.65,1.46,2019
387,Italy,Serie A,(CAG),Joao Pedro,35,1,3394,18,13.93,0.39,87,37,2.44,1.04,2019
494, Netherlands,Eredivisie,(WIL),Vangelis Pavlidis,10,0,927,4,2.83,0.29,26,15,2.66,1.54,2019
124,Italy,Serie A,(IMI),Gonzalo Higuain,32,3,2935,16,12.05,0.39,102,40,3.3,1.29,2017
477,Brazil,Campeonato Brasileiro S̩rie A,(SAN),Yeferson Soteldo,31,1,2883,9,8.8,0.29,68,26,2.24,0.86,2019
462,Brazil,Campeonato Brasileiro S̩rie A,(INT),Paolo Guerrero,23,1,2193,10,10.85,0.47,81,33,3.51,1.43,2019
628,Brazil,Campeonato Brasileiro S̩rie A,(SAP),Brenner None,9,6,1063,6,7.5,0.67,36,14,3.22,1.25,2020
104,Spain,La Liga,None,Rodrigo None,31,6,2770,16,15.45,0.53,92,38,3.16,1.3,2017
55,Germany,Bundesliga,(STP),Guido Burgstaller,17,1,1494,9,8.18,0.52,45,24,2.86,1.53,2016
520,Spain,La Liga,(SEV),Youssef   En-Nesyri,5,4,465,4,3.33,0.68,14,4,2.86,0.82,2020
577,Germany,Bundesliga,(SCF),Nils Petersen,6,3,608,4,2.11,0.33,15,7,2.34,1.09,2020
150,Germany,Bundesliga,(CHE),Timo Werner,28,4,2596,13,13.39,0.49,95,40,3.48,1.46,2017
162,Brazil,Campeonato Brasileiro S̩rie A,(BEN),Everton ,14,18,1224,8,9.53,0.74,54,30,4.19,2.33,2017
202,Italy,Serie A,(NAP),Lorenzo Insigne,24,4,2191,10,9.23,0.4,120,37,5.2,1.6,2018
310,USA,MLS,(HDY),Mauro Manotas,28,4,2717,13,14.01,0.49,92,29,3.22,1.01,2019
632,Brazil,Campeonato Brasileiro S̩rie A,(INT),Thiago Galhardo,16,5,1605,15,12.5,0.74,53,27,3.14,1.6,2020
273,England,Premier League,(ARS),Pierre-Emerick Aubameyang,30,6,2905,22,21.71,0.71,94,39,3.07,1.28,2018
64,England,Premier League,(CRY),Christian Benteke,36,0,3299,15,18.4,0.53,105,38,3.02,1.09,2016
443,England,Premier League,(LEI),Jamie Vardy,34,1,3271,23,19.28,0.56,89,42,2.58,1.22,2019
379,Portugal ,Primeira Liga,(VGU),Bruno Duarte,18,6,1684,8,5.5,0.31,42,16,2.37,0.9,2019
67,England,Premier League,(LIV),Roberto Firmino,34,1,3228,11,10.87,0.32,104,43,3.06,1.27,2016
68,England,Premier League,(LIV),Sadio Mane,26,1,2347,13,9.14,0.37,58,24,2.35,0.97,2016
350,Portugal ,Primeira Liga,(BEN),Gian-Luca Waldschmidt,7,1,605,4,3.57,0.56,15,6,2.36,0.94,2019
327,Spain,La Liga,(VIL),Gerard Moreno,33,2,2831,18,16.09,0.54,89,34,2.99,1.14,2019
250,France,France Ligue 4,(MAR),Florian Thauvin,30,3,2741,16,11.25,0.39,101,35,3.5,1.21,2018
600,England,Premier League,(SOU),James Ward-Prowse,10,0,960,4,0.71,0.07,10,7,0.99,0.69,2020
430,France,France Ligue 19,(STR),Ludovic Ajorque,24,2,2163,8,6.6,0.29,50,22,2.2,0.97,2019
425,France,France Ligue 11,(REN),M'Baye Niang,24,2,2276,10,8.15,0.34,66,30,2.75,1.25,2019
408,Germany,Bundesliga,(BAY),Robert Lewandowski,31,0,2783,34,31.05,1.06,138,67,4.71,2.29,2019
512,USA,MLS,(SOU),Jordan Morris,19,4,1927,11,8.32,0.41,43,19,2.12,0.94,2020
610,England,Premier League,(LEE),Patrick Bamford,10,0,898,7,7.28,0.77,40,17,4.23,1.8,2020
78,England,Premier League,(TOT),Son Heung-Min,23,11,2174,14,7.32,0.32,80,33,3.5,1.44,2016
518,USA,MLS,(POR),Diego Valeri,19,4,1864,8,5.3,0.27,44,17,2.24,0.87,2020
161,Brazil,Campeonato Brasileiro S̩rie A,(CRU),Arthur Caike,34,0,2824,8,7.73,0.26,85,25,2.86,0.84,2017
584,France,France Ligue 3,(MPE),Andy Delort,11,0,902,6,4.18,0.44,31,14,3.26,1.47,2020
458,England,Premier League,(CHE),Tammy Abraham,25,9,2380,15,19.29,0.77,88,35,3.51,1.4,2019
83,Brazil,Campeonato Brasileiro S̩rie A,None,Kempes ,19,7,1684,9,5.85,0.33,44,21,2.48,1.18,2016
149,Germany,Bundesliga,None,Sandro Wagner ,18,7,1666,12,10.0,0.57,55,26,3.14,1.48,2017
295,Brazil,Campeonato Brasileiro S̩rie A,(CFC),Ricardo Oliveira,35,0,3231,13,16.67,0.49,92,41,2.71,1.21,2018
505,USA,MLS,(SOU),Nicolas Lodeiro,21,0,2014,8,6.36,0.3,43,19,2.03,0.9,2020
562,Germany,Bundesliga,(BAY),Serge Gnabry,7,1,626,4,1.58,0.24,18,9,2.73,1.37,2020
175,Brazil,Campeonato Brasileiro S̩rie A,None,Henrique Dourado,32,0,2472,19,14.83,0.57,65,37,2.5,1.42,2017
421,France,France Ligue 13,(MAR),Dimitri Payet,22,0,2057,9,5.85,0.27,63,26,2.91,1.2,2019
529,Spain,La Liga,(ATL),Joao Felix,6,3,641,5,3.85,0.57,21,6,3.11,0.89,2020
542,Italy,Serie A,(CAG),Joao Pedro,9,0,831,6,3.41,0.39,21,10,2.4,1.14,2020
92,Brazil,Campeonato Brasileiro S̩rie A,None,Sassa,13,13,1412,12,11.15,0.75,41,25,2.76,1.68,2016
623,Brazil,Campeonato Brasileiro S̩rie A,(PAL),Raphael Veiga,10,4,914,6,3.37,0.35,27,11,2.81,1.14,2020
201,Italy,Serie A,(ATA),Duvan Zapata,32,5,3064,23,18.38,0.57,118,50,3.66,1.55,2018
296,Brazil,Campeonato Brasileiro S̩rie A,(BAH),Gilberto ,18,3,1623,8,7.0,0.41,52,17,3.04,1.0,2018
404,Germany,Bundesliga,(DOR),Marco Reus,18,1,1561,11,8.54,0.52,47,24,2.86,1.46,2019
452,England,Premier League,(MNC),Gabriel Jesus,21,13,2209,14,20.69,0.89,101,46,4.34,1.98,2019
597,France,France Ligue 19,(DIJ),Mama Balde,8,0,669,4,4.01,0.57,30,10,4.26,1.42,2020
369,Portugal ,Primeira Liga,None,Sandro Lima,29,3,2747,10,10.12,0.35,66,31,2.28,1.07,2019
100,Spain,La Liga,(GET),Angel Rodriguez,26,7,2390,13,11.82,0.47,68,31,2.7,1.23,2017
190,Spain,La Liga,(SOC),Willian Jose,28,3,2471,12,11.7,0.45,55,26,2.11,1.0,2018
