,Country,League,Club,Player Names,Matches_Played,Substitution ,Mins,Goals,xG,xG Per Avg Match,Shots,OnTarget,Shots Per Avg Match,On Target Per Avg Match,Year
232,Germany,Bundesliga,(WOB),Wout Weghorst,33,1,3061,17,16.11,0.5,73,34,2.27,1.06,2018
14,Spain,La Liga,(JUV),Morata,14,12,1392,15,9.67,0.66,55,30,3.75,2.05,2016
571,Germany,Bundesliga,(HOF),Andrej Kramaric,5,0,481,7,4.61,0.91,23,14,4.54,2.77,2020
394,Italy,Serie A,(INT),Lautaro Martrinez,29,6,2581,14,14.4,0.53,125,44,4.6,1.62,2019
597,France,France Ligue 19,(DIJ),Mama Balde,8,0,669,4,4.01,0.57,30,10,4.26,1.42,2020
16,Spain,La Liga,(SOC),Willian Jose,27,1,2102,12,8.41,0.38,69,29,3.12,1.31,2016
496, Netherlands,Eredivisie,(SPR),Abdou Harroui,10,0,834,4,1.93,0.22,24,13,2.73,1.48,2019
13,Spain,La Liga,(VIL),Gerard Moreno,37,0,3361,13,8.49,0.24,82,32,2.32,0.9,2016
49,Germany,Bundesliga,(SCF),Nils Petersen,7,26,1351,10,9.24,0.65,52,33,3.66,2.32,2016
491, Netherlands,Eredivisie,(AJA),Davy Klaassen,6,0,490,5,4.02,0.78,13,8,2.52,1.55,2019
602,England,Premier League,(EVE),Dominic Calvert-Lewin,10,0,940,10,7.12,0.72,32,18,3.23,1.82,2020
514,USA,MLS,(NER),Gustavo Bou,17,4,1701,8,6.8,0.38,81,28,4.52,1.56,2020
614,England,Premier League,,Danny Ings ,7,0,662,5,2.58,0.37,15,9,2.15,1.29,2020
233,Germany,Bundesliga,(HOF),Ishak Belfodil,20,8,1965,18,10.14,0.49,88,36,4.25,1.74,2018
553,Italy,Serie A,(JUV),Cristiano Ronaldo,5,1,397,8,5.31,1.27,26,13,6.22,3.11,2020
175,Brazil,Campeonato Brasileiro S̩rie A,,Henrique Dourado,32,0,2472,19,14.83,0.57,65,37,2.5,1.42,2017
395,Italy,Serie A,(ATA),Luis Muriel,10,23,1370,18,12.4,0.86,77,41,5.34,2.84,2019
626,Brazil,Campeonato Brasileiro S̩rie A,(VDG),German Cano,19,0,1733,10,10.03,0.55,37,22,2.03,1.21,2020
347,Portugal ,Primeira Liga,(FAM),Carlos Valenzuela,7,1,575,2,1.03,0.17,10,3,1.65,0.5,2019
489, Netherlands,Eredivisie,(PSV),Donyell Malen,7,3,725,6,6.11,0.8,32,17,4.19,2.23,2019
528,Spain,La Liga,(BAR),Lionel Messi,8,1,824,4,5.46,0.63,39,19,4.5,2.19,2020
228,Germany,Bundesliga,(VIL),Paco Alcacer,11,15,1312,18,9.39,0.68,52,27,3.77,1.96,2018
364,Portugal ,Primeira Liga,(MNU),Bruno Fernandes,17,0,1656,8,5.58,0.32,60,23,3.44,1.32,2019
414,Germany,Bundesliga,(SCF),Nils Petersen,24,10,2595,11,8.47,0.31,55,19,2.01,0.7,2019
255,France,France Ligue 8,(MPE),Andy Delort,36,0,3263,14,13.05,0.38,119,36,3.46,1.05,2018
426,France,France Ligue 20,(STR),Adrien Thomasson,24,1,2168,7,5.25,0.23,50,18,2.19,0.79,2019
485, Netherlands,Eredivisie,(EMM),Michael de Leeuw,8,0,723,5,2.89,0.38,15,7,1.97,0.92,2019
591,France,France Ligue 6,(MON),Wissam Ben,10,1,879,6,5.74,0.62,30,8,3.24,0.86,2020
117,Spain,La Liga,(CEL),Santi Mina,17,15,1630,12,9.44,0.55,43,20,2.51,1.17,2017
171,Brazil,Campeonato Brasileiro S̩rie A,,Dudu ,23,3,1751,10,6.82,0.37,45,23,2.44,1.25,2017
235,Germany,Bundesliga,(MAI),Jean-Philippe Mateta,29,5,2587,14,11.71,0.43,97,34,3.56,1.25,2018
645, Netherlands,Eredivisie,(SEV),Oussama Idrissi,25,0,2047,13,7.11,0.33,67,34,3.11,1.58,2020
118,Spain,La Liga,(LEV),Morales ,35,0,3180,10,10.71,0.32,61,25,1.82,0.75,2017
205,Italy,Serie A,(TOR),Andrea Belotti,37,0,3533,15,15.99,0.43,125,47,3.36,1.26,2018
462,Brazil,Campeonato Brasileiro S̩rie A,(INT),Paolo Guerrero,23,1,2193,10,10.85,0.47,81,33,3.51,1.43,2019
382,Italy,Serie A,(Sassuolo ),Francesco Caputo,33,3,3125,21,13.82,0.42,73,35,2.22,1.06,2019
465,Brazil,Campeonato Brasileiro S̩rie A,(FLA),Giorgian de Arrascaeta,22,1,1929,12,9.34,0.46,47,19,2.31,0.94,2019
455,England,Premier League,(TOT),Harry Kane,29,0,2801,18,12.97,0.44,81,37,2.75,1.25,2019
450,England,Premier League,(MNU),Marcus Rashford,31,0,2826,17,19.93,0.67,95,44,3.19,1.48,2019
292,Brazil,Campeonato Brasileiro S̩rie A,(FLA),Pedro ,19,0,1689,9,9.07,0.51,56,18,3.15,1.01,2018
363,Portugal ,Primeira Liga,(FEY),Joao Teixeira,14,7,1416,8,3.58,0.24,34,14,2.28,0.94,2019
399,Italy,Serie A,(TOR),Andrea Belotti,34,2,3214,16,16.58,0.49,104,41,3.07,1.21,2019
473,Brazil,Campeonato Brasileiro S̩rie A,(FLA),Gabriel Barbosa,29,0,2716,25,24.59,0.86,117,62,4.09,2.17,2019
15,Spain,La Liga,(MON),Wissam Ben Yedder,20,11,1735,11,7.85,0.43,44,23,2.41,1.26,2016
265,England,Premier League,(WAT),Glenn Murray,30,8,2684,13,11.58,0.41,54,21,1.91,0.74,2018
560,Germany,Bundesliga,(LEV),Lucas Alario,6,1,561,7,3.07,0.52,20,11,3.39,1.86,2020
150,Germany,Bundesliga,(CHE),Timo Werner,28,4,2596,13,13.39,0.49,95,40,3.48,1.46,2017
335,Spain,La Liga,(SEV),Lucas Ocampos,31,2,2929,14,13.26,0.43,84,36,2.72,1.17,2019
152,Germany,Bundesliga,(VfB),Daniel Didavi,26,4,2312,9,3.89,0.16,55,19,2.26,0.78,2017
179,Brazil,Campeonato Brasileiro S̩rie A,(GRE),Luiz Fernando,21,12,1769,9,5.96,0.32,42,16,2.26,0.86,2017
181,Spain,La Liga,(VAL),Maxi Gomez,33,2,3148,13,12.92,0.39,82,28,2.47,0.84,2018
28,Italy,Serie A,(CAG),Giovanni Simeone,29,6,2764,12,12.22,0.42,76,35,2.61,1.2,2016
30,Italy,Serie A,(CRZ),Diego Falcinelli,35,1,3308,13,11.49,0.33,99,65,2.84,1.87,2016
176,Brazil,Campeonato Brasileiro S̩rie A,,Andre,35,0,2931,16,14.81,0.48,88,34,2.85,1.1,2017
374,Portugal ,Primeira Liga,(BAR),Trincao ,17,10,1749,8,4.6,0.25,47,19,2.55,1.03,2019
78,England,Premier League,(TOT),Son Heung-Min,23,11,2174,14,7.32,0.32,80,33,3.5,1.44,2016
262,England,Premier League,(MNU),Paul Pogba,34,1,3233,13,15.99,0.47,105,49,3.09,1.44,2018
75,England,Premier League,(WHU),Michail Antonio,29,0,2493,11,9.71,0.37,79,25,3.01,0.95,2016
35,Italy,Serie A,Marco,Borriello ,30,6,2737,16,7.78,0.27,81,51,2.81,1.77,2016
32,Italy,Serie A,(ROM),Edin Dzeko,33,4,3194,29,30.6,0.91,178,99,5.29,2.94,2016
429,France,France Ligue 2,(MON),Wissam Ben Yedder,25,1,2321,18,12.95,0.53,64,36,2.62,1.47,2019
540,Italy,Serie A,(BOL),Roberto Soriano,9,0,849,5,2.41,0.27,18,7,2.01,0.78,2020
93,Brazil,Campeonato Brasileiro S̩rie A,(FLA),Giorgian de Arrascaeta,30,1,2423,9,7.65,0.3,75,24,2.94,0.94,2016
243,France,France Ligue 12,(CAE),Emiliano Sala,16,3,1434,12,6.19,0.41,36,18,2.38,1.19,2018
124,Italy,Serie A,(IMI),Gonzalo Higuain,32,3,2935,16,12.05,0.39,102,40,3.3,1.29,2017
248,France,France Ligue 16,(ANG),Stephane Bahoken,31,1,2541,11,8.56,0.32,66,33,2.47,1.23,2018
231,Germany,Bundesliga,(MON),Kevin Volland,32,2,2945,14,12.4,0.4,87,43,2.81,1.39,2018
543,Italy,Serie A,(ATA),Alejandro Gomez,9,0,643,4,2.23,0.33,28,11,4.14,1.63,2020
52,Germany,Bundesliga,(WOB),Maximilian Philipp,23,2,2000,9,6.11,0.29,53,34,2.52,1.62,2016
174,Brazil,Campeonato Brasileiro S̩rie A,(FLU),Lucca ,37,0,2933,13,11.11,0.36,96,40,3.11,1.3,2017
641, Netherlands,Eredivisie,(AZA),Teun Koopmeiners,25,0,2336,11,9.34,0.38,35,18,1.42,0.73,2020
537,Spain,La Liga,(GET),Angel Rodriguez,3,6,501,4,2.06,0.39,14,7,2.65,1.33,2020
398,Italy,Serie A,(ACM),Ante Rebic,15,11,1514,11,6.85,0.43,42,20,2.64,1.25,2019
163,Brazil,Campeonato Brasileiro S̩rie A,(SAP),Hernanes ,19,0,1222,9,5.27,0.41,52,23,4.04,1.79,2017
410,Germany,Bundesliga,(FCA),Florian Niederlechner,31,2,2846,13,13.18,0.44,78,40,2.6,1.34,2019
315,USA,MLS,(SOU),Raul Ruidiaz,24,2,2346,15,15.31,0.62,96,37,3.89,1.5,2019
582,France,France Ligue 9,(LYO),Karl Toko,9,1,822,5,5.88,0.68,27,12,3.12,1.39,2020
47,Germany,Bundesliga,(RBL),Emil Forsberg,27,3,2420,8,5.86,0.23,49,32,1.92,1.26,2016
397,Italy,Serie A,(BEN),Gianluca Lapadula,20,5,1906,11,9.43,0.47,61,24,3.04,1.2,2019
649, Netherlands,Eredivisie,(AZA),Myron Boadu,24,0,2099,14,13.26,0.6,60,30,2.72,1.36,2020
309,USA,MLS,(NYC),Heber ,18,5,1742,15,11.37,0.62,56,26,3.05,1.42,2019
119,Spain,La Liga,(SEV),Munir ,28,5,2517,10,10.6,0.4,62,23,2.34,0.87,2017
409,Germany,Bundesliga,(FRA),Andre Silva,16,9,1694,12,10.7,0.6,55,21,3.08,1.18,2019
469,Brazil,Campeonato Brasileiro S̩rie A,(FLA),Michael ,35,0,3180,10,9.37,0.28,80,32,2.39,0.96,2019
482, Netherlands,Eredivisie,(AJA),Dusan Tadic,9,1,719,7,4.24,0.56,20,13,2.64,1.72,2019
538,Spain,La Liga,(BAR),Ansu Fati,6,1,451,4,1.8,0.38,14,7,2.95,1.47,2020
577,Germany,Bundesliga,(SCF),Nils Petersen,6,3,608,4,2.11,0.33,15,7,2.34,1.09,2020
579,Germany,Bundesliga,(BAY),Robert Lewandowski,7,1,672,12,7.78,1.1,35,17,4.95,2.4,2020
11,Spain,La Liga,(HUE),Sandro Ramlrez,28,2,2340,14,7.14,0.29,93,38,3.78,1.54,2016
327,Spain,La Liga,(VIL),Gerard Moreno,33,2,2831,18,16.09,0.54,89,34,2.99,1.14,2019
295,Brazil,Campeonato Brasileiro S̩rie A,(CFC),Ricardo Oliveira,35,0,3231,13,16.67,0.49,92,41,2.71,1.21,2018
640, Netherlands,Eredivisie,(MNU),Donny van de Beek,22,1,2023,8,4.9,0.23,44,16,2.07,0.75,2020
114,Spain,La Liga,(VIL),Gerard Moreno,38,0,3555,16,17.96,0.48,105,47,2.81,1.26,2017
494, Netherlands,Eredivisie,(WIL),Vangelis Pavlidis,10,0,927,4,2.83,0.29,26,15,2.66,1.54,2019
639,Brazil,Campeonato Brasileiro S̩rie A,(CAP),Renato Kayzer,17,1,1639,7,7.59,0.44,46,21,2.67,1.22,2020
44,Germany,Bundesliga,(HOF),Andrej Kramaric,28,6,2449,15,13.41,0.52,99,60,3.84,2.33,2016
600,England,Premier League,(SOU),James Ward-Prowse,10,0,960,4,0.71,0.07,10,7,0.99,0.69,2020
87,Brazil,Campeonato Brasileiro S̩rie A,(SAP),Vitor Bueno,32,1,2670,10,9.27,0.33,73,30,2.6,1.07,2016
136,Italy,Serie A,(NAP),Dries Mertens,35,3,3133,18,16.16,0.49,128,47,3.88,1.43,2017
575,Germany,Bundesliga,(DOR),Erling Haaland,7,1,683,10,6.76,0.94,30,14,4.17,1.95,2020
656, Netherlands,Eredivisie,(AJA),Quincy Promes,18,2,1573,12,9.77,0.59,56,30,3.38,1.81,2020
247,France,France Ligue 3,(MNU),Edinson Cavani,20,1,1747,18,16.73,0.91,52,22,2.83,1.2,2018
527,Spain,La Liga,(ALA),Lucas Perez,7,2,637,3,4.36,0.65,13,6,1.94,0.89,2020
351,Portugal ,Primeira Liga,(GIL),Samuel Lino,6,1,591,3,2.18,0.35,16,5,2.57,0.8,2019
557,Italy,Serie A,(SAM),Fabio Quagliarella,8,1,694,5,4.46,0.61,23,9,3.15,1.23,2020
453,England,Premier League,(SOU),Danny Ings,32,6,3009,22,16.79,0.53,93,37,2.94,1.17,2019
512,USA,MLS,(SOU),Jordan Morris,19,4,1927,11,8.32,0.41,43,19,2.12,0.94,2020
39,Italy,Serie A,(TOR),Andrea Belotti,34,1,3241,26,19.45,0.57,130,78,3.81,2.29,2016
277,England,Premier League,(LEI),Ayoze Perez,34,3,3099,12,7.83,0.24,55,27,1.69,0.83,2018
478,Brazil,Campeonato Brasileiro S̩rie A,(CAM),Eduardo Sasha,34,3,3181,14,14.06,0.42,77,36,2.3,1.08,2019
157,Germany,Bundesliga,(DOR),Julian Brandt,26,8,2419,9,6.37,0.25,43,22,1.69,0.86,2017
263,England,Premier League,(LIV),Mohamed Salah,37,1,3417,22,20.5,0.57,137,63,3.81,1.75,2018
402,Germany,Bundesliga,(WOB),Wout Weghorst,30,2,2893,16,18.27,0.6,85,38,2.79,1.25,2019
287,Brazil,Campeonato Brasileiro S̩rie A,(RMA),Rodrygo ,30,5,2850,8,8.1,0.27,52,23,1.73,0.77,2018
519,USA,MLS,(SJE),Chris Wondolowski,14,9,1509,8,7.31,0.46,35,20,2.2,1.26,2020
183,Spain,La Liga,(GET),Jaime Mata,27,7,2569,14,12.44,0.46,59,25,2.18,0.92,2018
396,Italy,Serie A,(SAM),Fabio Quagliarella,26,2,2413,11,13.72,0.54,102,35,4.02,1.38,2019
271,England,Premier League,(MNC),Sergio Aguero,31,2,2566,21,19.45,0.72,118,43,4.37,1.59,2018
368,Portugal ,Primeira Liga,(MIJ),Bozhidar Kraev,28,4,2399,8,4.55,0.18,46,19,1.82,0.75,2019
17,Spain,La Liga,Florin,Andone ,32,5,2984,12,11.62,0.37,99,42,3.15,1.34,2016
301,USA,MLS,(ATA),Josef Martinez,32,0,3050,28,25.04,0.78,128,52,3.99,1.62,2019
24,Italy,Serie A,(NAP),Dries Mertens,28,7,2671,28,21.65,0.77,148,102,5.26,3.63,2016
90,Brazil,Campeonato Brasileiro S̩rie A,(HUR),Andres Chavez,19,2,1786,9,10.53,0.56,67,32,3.56,1.7,2016
418,Germany,Bundesliga,(KOL),Sebastian Andersson,31,2,2813,12,13.62,0.46,65,37,2.2,1.25,2019
501,USA,MLS,(MIN),Kevin Molino,16,3,1430,11,6.32,0.42,43,20,2.86,1.33,2020
144,Germany,Bundesliga,(DOR),Thorgan Hazard,33,1,3062,10,12.89,0.4,87,33,2.7,1.02,2017
168,Brazil,Campeonato Brasileiro S̩rie A,(COR),Jo,34,0,2847,18,16.78,0.56,80,39,2.67,1.3,2017
608,England,Premier League,(WOL),Raul Jimenez,10,0,872,4,3.3,0.36,26,10,2.83,1.09,2020
511,USA,MLS,(MON),Romell Quioto,18,2,1676,9,5.82,0.33,54,23,3.06,1.3,2020
94,Brazil,Campeonato Brasileiro S̩rie A,(CAM),Keno ,32,2,3093,10,6.19,0.19,73,25,2.24,0.77,2016
155,Germany,Bundesliga,(SCH),Mark Uth,24,7,2279,14,9.84,0.41,54,21,2.25,0.88,2017
472,Brazil,Campeonato Brasileiro S̩rie A,(RBB),Artur ,32,0,3049,7,5.78,0.18,64,19,1.99,0.59,2019
279,England,Premier League,(WOL),Raul Jimenez,36,2,3285,13,15.91,0.46,111,33,3.21,0.95,2018
383,Italy,Serie A,(ROM),Edin Dzeko,31,4,3075,16,19.74,0.61,122,46,3.77,1.42,2019
